Thu Feb 14 04:56:21 UTC 2019  202  29  24  
Thu Feb 14 04:56:33 UTC 2019  202  34  40  
Thu Feb 14 04:56:44 UTC 2019  202  30  36  
Thu Feb 14 04:56:55 UTC 2019  202  21  21  
Thu Feb 14 04:57:06 UTC 2019  202  18  26  
Thu Feb 14 04:57:18 UTC 2019  202  30  31  
Thu Feb 14 04:57:29 UTC 2019  202  33  25  
Thu Feb 14 04:57:40 UTC 2019  201  31  46  
Thu Feb 14 04:57:51 UTC 2019  202  33  34  
Thu Feb 14 04:58:03 UTC 2019  202  21  33  
Thu Feb 14 04:58:14 UTC 2019  202  22  41  
Thu Feb 14 04:58:25 UTC 2019  202  37  39  
Thu Feb 14 04:58:36 UTC 2019  201  42  43  
Thu Feb 14 04:58:48 UTC 2019  202  51  33  
Thu Feb 14 04:58:59 UTC 2019  202  24  36  
Thu Feb 14 04:59:10 UTC 2019  202  19  24  
Thu Feb 14 04:59:21 UTC 2019  202  36  31  
Thu Feb 14 04:59:33 UTC 2019  202  33  31  
Thu Feb 14 04:59:44 UTC 2019  201  27  27  
Thu Feb 14 04:59:55 UTC 2019  202  46  28  
Thu Feb 14 05:00:06 UTC 2019  201  48  85  
Thu Feb 14 05:00:19 UTC 2019  202  70  63  
Thu Feb 14 05:00:31 UTC 2019  202  81  87  
Thu Feb 14 05:00:44 UTC 2019  202  84  77  
Thu Feb 14 05:00:56 UTC 2019  202  63  57  
Thu Feb 14 05:01:09 UTC 2019  202  67  83  
Thu Feb 14 05:01:22 UTC 2019  202  65  77  
Thu Feb 14 05:01:34 UTC 2019  202  61  87  
Thu Feb 14 05:01:47 UTC 2019  202  80  69  
Thu Feb 14 05:01:59 UTC 2019  201  50  84  
Thu Feb 14 05:02:12 UTC 2019  202  83  75  
Thu Feb 14 05:02:25 UTC 2019  202  79  77  
Thu Feb 14 05:02:37 UTC 2019  202  89  60  
Thu Feb 14 05:02:50 UTC 2019  202  88  65  
Thu Feb 14 05:03:03 UTC 2019  202  78  74  
Thu Feb 14 05:03:16 UTC 2019  202  72  83  
Thu Feb 14 05:03:29 UTC 2019  202  72  84  
Thu Feb 14 05:03:42 UTC 2019  202  83  85  
Thu Feb 14 05:03:55 UTC 2019  202  90  90  
Thu Feb 14 05:04:08 UTC 2019  202  89  65  
Thu Feb 14 05:04:20 UTC 2019  202  86  88  
Thu Feb 14 05:04:32 UTC 2019  202  84  89  
Thu Feb 14 05:04:45 UTC 2019  202  79  88  
Thu Feb 14 05:04:58 UTC 2019  202  69  85  
Thu Feb 14 05:05:10 UTC 2019  202  84  87  
Thu Feb 14 05:05:23 UTC 2019  202  83  60  
Thu Feb 14 05:05:35 UTC 2019  202  68  80  
Thu Feb 14 05:05:48 UTC 2019  202  71  61  
Thu Feb 14 05:06:00 UTC 2019  202  80  88  
Thu Feb 14 05:06:13 UTC 2019  202  89  66  
Thu Feb 14 05:06:25 UTC 2019  202  81  72  
Thu Feb 14 05:06:37 UTC 2019  202  89  65  
Thu Feb 14 05:06:50 UTC 2019  202  74  65  
Thu Feb 14 05:07:02 UTC 2019  202  89  75  
Thu Feb 14 05:07:15 UTC 2019  202  61  88  
Thu Feb 14 05:07:28 UTC 2019  202  55  35  
Thu Feb 14 05:07:40 UTC 2019  202  65  83  
Thu Feb 14 05:07:52 UTC 2019  202  89  77  
Thu Feb 14 05:08:06 UTC 2019  202  88  78  
Thu Feb 14 05:08:18 UTC 2019  202  81  74  
Thu Feb 14 05:08:30 UTC 2019  202  87  67  
Thu Feb 14 05:08:43 UTC 2019  202  63  90  
